ano,mes,temperatura,precipitacao,temperatura_num,precipitacao_num,cluster
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
2024,Dezembro,Quente,muita,2,0,1
2020,Janeiro,Quente,muita,2,0,1
2020,Fevereiro,Quente,muita,2,0,1
2020,Março,Ameno,média,0,1,2
2020,Abril,Ameno,pouca,0,3,0
2020,Maio,Frio,nada,1,2,2
2020,Junho,Frio,nada,1,2,2
2020,Julho,Frio,pouca,1,3,0
2020,Agosto,Ameno,nada,0,2,2
2020,Setembro,Ameno,pouca,0,3,0
2020,Outubro,Quente,média,2,1,1
2020,Novembro,Quente,muita,2,0,1
2020,Dezembro,Quente,muita,2,0,1
2021,Janeiro,Quente,muita,2,0,1
2021,Fevereiro,Quente,média,2,1,1
2021,Março,Ameno,muita,0,0,2
2021,Abril,Ameno,pouca,0,3,0
2021,Maio,Frio,nada,1,2,2
2021,Junho,Frio,nada,1,2,2
2021,Julho,Frio,pouca,1,3,0
2021,Agosto,Frio,nada,1,2,2
2021,Setembro,Ameno,média,0,1,2
2021,Outubro,Quente,muita,2,0,1
2021,Novembro,Quente,média,2,1,1
2021,Dezembro,Quente,muita,2,0,1
2022,Janeiro,Quente,muita,2,0,1
2022,Fevereiro,Quente,muita,2,0,1
2022,Março,Ameno,média,0,1,2
2022,Abril,Ameno,pouca,0,3,0
2022,Maio,Frio,nada,1,2,2
2022,Junho,Frio,pouca,1,3,0
2022,Julho,Frio,nada,1,2,2
2022,Agosto,Ameno,nada,0,2,2
2022,Setembro,Ameno,pouca,0,3,0
2022,Outubro,Quente,média,2,1,1
2022,Novembro,Quente,muita,2,0,1
2022,Dezembro,Quente,muita,2,0,1
2023,Janeiro,Quente,muita,2,0,1
2023,Fevereiro,Quente,média,2,1,1
2023,Março,Quente,muita,2,0,1
2023,Abril,Ameno,pouca,0,3,0
2023,Maio,Ameno,nada,0,2,2
2023,Junho,Frio,nada,1,2,2
2023,Julho,Frio,nada,1,2,2
2023,Agosto,Frio,pouca,1,3,0
2023,Setembro,Ameno,média,0,1,2
2023,Outubro,Quente,muita,2,0,1
2023,Novembro,Quente,muita,2,0,1
2023,Dezembro,Quente,média,2,1,1
2024,Janeiro,Quente,muita,2,0,1
2024,Fevereiro,Quente,muita,2,0,1
2024,Março,Ameno,média,0,1,2
2024,Abril,Ameno,pouca,0,3,0
2024,Maio,Frio,nada,1,2,2
2024,Junho,Frio,nada,1,2,2
2024,Julho,Frio,pouca,1,3,0
2024,Agosto,Frio,nada,1,2,2
2024,Setembro,Ameno,pouca,0,3,0
2024,Outubro,Quente,média,2,1,1
2024,Novembro,Quente,muita,2,0,1
